Rank,Country,Fertility rate  in 2020(births/woman)
1,Fragile and conflict affected situations,4.3
,Economic areas,
1,Euro area,1.5
,Economic situation,
1,Heavily indebted poor countries (HIPC),4.5
2,Least developed countries: UN classification,3.9
,Income,
1,Low income countries,4.5
2,Lower middle income countries,2.7
3,Low and middle income countries,2.5
4,Middle income countries,2.3
5,Upper middle income countries,1.8
6,High income countries,1.5
,Not ranked (no data or data from other years),
1,American Samoa (US),
2,Andorra,1.3
3,British Virgin Islands (UK),
4,Cayman Islands (UK),
5,Dominica,1.9
6,French Guiana (France),
7,Gibraltar (UK),
8,Guadeloupe (France),
9,Isle of Man (UK),1.6
10,Marshall Islands,4.0
11,Mayotte (France),
12,Monaco,
13,Nauru,
14,Northern Mariana Islands (US),
15,Palau,2.2
16,San Marino,1.3
17,Sint Maarten (Netherlands) (Dutch part),2.0
18,Saint Kitts and Nevis,2.1
19,Turks and Caicos Islands,
20,Tuvalu,
21,Vatican City,
22,Western Sahara,
