Rank,Country,Score,Change
87,Seychelles,61.4,0.2
88,Oman,61,0
89,Dominican Republic,61,0.6
90,Kuwait,60.8,1.4
91,Saudi Arabia,60.7,1.1
92,Montenegro,60.5,3.8
93,Honduras,60.2,0.4
94,Tanzania,60.2,0.3
95,Uganda,59.7,2.3
96,Burkina Faso,59.4,0.6
97,Moldova,59.1,0.7
98,Russia,58.9,0.7
99,Namibia,58.7,0.2
100,China,58.4,0.6
101,Papua New Guinea,58.4,2.7
102,South Africa,58.3,4.7
103,Mali,58.1,0.5
104,Belarus,57.9,0.2
105,Cambodia,57.8,0.9
106,Greece,57.7,0.4
107,Nicaragua,57.7,1.2
108,Tonga,57.7,5.4
109,Ghana,57.5,1.5
110,Laos,57.4,3.8
111,Nigeria,57.3,1.2
112,Trinidad and Tobago,57,0.7
113,Guyana,56.8,1.9
114,Madagascar,56.6,0.2
115,Sri Lanka,56.4,1.4
116,Vanuatu,56.4,13.1
117,Senegal,56.3,0.6
118,Gabon,56.3,1.7
119,Mauritania,55.7,1.7
120,Guinea,55.7,3.5
121,Bangladesh,55.6,0.5
122,Tajikistan,55.6,2.7
123,Belize,55.4,1.7
124,Comoros,55.4,0.8
125,Tunisia,55.4,3.5
126,Mongolia,55.4,0.3
127,Benin,55.3,1.4
128,Vietnam,55.3,2.2
129,India,55.2,0.7
130,Kenya,55.1,0.4
131,Pakistan,55,0.6
132,Eswatini,54.7,1.2
133,Solomon Islands,54.6,2.9
134,São Tomé and Príncipe,54,0.4
135,Guinea-Bissau,54,2.9
136,Nepal,53.8,0.3
137,Ethiopia,53.6,0.8
138,Zambia,53.6,0.7
139,Myanmar,53.6,0.3
140,Uzbekistan,53.3,1.8
141,Maldives,53.2,2.1
142,Lesotho,53.1,0.8
143,Haiti,52.7,3.1
144,Egypt,52.5,0.9
145,Cameroon,52.4,0.5
146,The Gambia,52.4,0.1
147,Ukraine,52.3,0.4
148,Argentina,52.2,0.1
149,Micronesia,51.9,0.4
150,Brazil,51.9,0.5
151,Niger,51.6,2.1
152,Afghanistan,51.5,0.2
153,Malawi,51.4,0.6
154,Lebanon,51.1,2.1
155,Iran,51.1,0.2
156,Angola,50.6,2
157,Democratic Republic of Congo,50.3,1.8
158,Togo,50.3,2.5
159,Chad,49.9,0.6
160,Liberia,49.7,1.2
161,Central African Republic,49.1,0.1
162,Burundi,48.9,2
163,Mozambique,48.6,2.3
164,Turkmenistan,48.4,1.3
165,Suriname,48.1,0
166,Sudan,47.7,1.7
167,Sierra Leone,47.5,4.3
168,Kiribati,47.3,3.5
169,Djibouti,47.1,2
170,Ecuador,46.9,1.6
171,Algeria,46.2,1.5
172,Timor-Leste,44.2,3.9
173,Bolivia,42.3,1.8
174,Equatorial Guinea,41,1
175,Zimbabwe,40.4,3.6
176,Republic of Congo,39.7,0.8
177,Eritrea,38.9,2.8
178,Cuba,27.8,4.1
179,Venezuela,25.9,0.7
180,North Korea,5.9,0.1
