Rank,Country,Number of scientific publications (2020),Scientific publications per capita (in ppm)
83,Uganda,2259,53
84,Luxembourg,2256,3554
85,Tanzania,2199,37
86,Cuba,2088,187
87,Cameroon,2086,86
88,Georgia,1905,511
89,Uruguay,1902,535
90,Azerbaijan,1764,174
91,Iceland,1738,4622
92,Bosnia and Herzegovina,1574,474
93,Costa Rica,1438,279
94,Venezuela,1397,49
95,Palestine,1204,230
96,Sudan,1187,27
97,Armenia,1175,396
98,Zimbabwe,1116,71
99,Bahrain,1066,710
100,Yemen,1064,35
101,Malta,1016,1974
102,North Macedonia,990,540
103,Myanmar,974,18
104,Malawi,952,50
105,Senegal,938,54
106,Puerto Rico,872,265
107,Zambia,802,44
108,Botswana,800,332
109,Panama,777,182
110,Syria,734,40
111,Rwanda,715,55
112,Brunei,681,1584
113,Libya,674,97
114,Mongolia,662,194
115,Burkina Faso,651,30
116,Benin,625,50
116,Montenegro,625,1006
118,Ivory Coast,615,23
119,Albania,612,216
119,Mozambique,612,20
121,Moldova,549,211
122,Cambodia,529,34
123,Namibia,524,205
124,Kyrgyzstan,507,76
125,Jamaica,478,175
126,Fiji,469,522
127,Bolivia,454,38
128,Mauritius,451,356
129,Democratic Republic of the Congo,439,5
130,Trinidad and Tobago,437,320
131,Madagascar,413,15
132,Paraguay,407,55
133,Guatemala,403,24
134,Republic of the Congo,386,68
135,Dominican Republic,346,33
136,Honduras,345,37
137,Mali,325,16
138,Tajikistan,324,34
139,Laos,305,42
140,Afghanistan,286,9
141,Grenada,250,2212
142,North Korea,237,9
143,Monaco,232,6050
143,Papua New Guinea,232,25
145,Gambia,230,92
146,Togo,220,28
147,Sierra Leone,211,25
148,Niger,204,8
149,Bhutan,200,265
150,Gabon,189,85
151,New Caledonia,185,676
151,French Polynesia,168,600
153,Barbados,156,542
154,Eswatini,147,125
155,Angola,146,5
156,Nicaragua,141,21
157,Guinea,138,11
158,French Guiana,130,442
159,Haiti,127,11
160,Liechtenstein,125,3193
161,Saint Kitts and Nevis,121,2241
162,Greenland,116,2048
163,Burundi,115,9
164,Seychelles,111,1119
165,El Salvador,107,16
166,Lesotho,99,46
167,Somalia,92,6
168,Maldives,91,238
169,Mauritania,86,20
169,Bahamas,86,219
171,Bermuda,78,1218
172,Guam,76,494
173,Guadeloupe,75,187
174,Faroe Islands,74,1378
175,Eritrea,72,20
176,Samoa,70,350
177,Central African Republic,69,12
177,Liberia,69,15
179,Guyana,68,91
180,Cape Verde,67,119
181,Chad,66,4
182,Solomon Islands,62,85
183,Suriname,60,100
184,Martinique,58,155
185,Guinea-Bissau,57,35
185,Réunion,57,66
187,Vanuatu,52,173
188,San Marino,50,1484
189,Belize,49,114
190,Timor-Leste,41,31
191,South Sudan,40,3
192,Andorra,36,453
193,Djibouti,35,36
194,Saint Vincent and the Grenadines,31,280
195,Federated States of Micronesia,30,284
195,Tonga,30,301
197,Cayman Islands,27,410
198,Antigua and Barbuda,23,232
199,Aruba,22,198
200,Dominica,21,292
200,Palau,21,1169
202,Falkland Islands,20,5000
203,Comoros,18,24
204,Kiribati,17,141
205,Turkmenistan,15,2
206,Equatorial Guinea,14,9
206,Saint Lucia,14,78
206,American Samoa,14,282
209,Mayotte,13,43
209,United States Virgin Islands,13,149
209,Anguilla,13,867
212,Gibraltar,12,353
213,Northern Mariana Islands,11,232
213,Turks and Caicos Islands,11,247
215,São Tomé and Príncipe,9,42
216,Cook Islands,8,521
217,Marshall Islands,7,128
218,British Virgin Islands,6,200
219,Vatican City,5,6061
220,"Saint Helena, Ascension and Tristan da Cunha",4,667
220,Montserrat,4,800
222,Wallis and Futuna,3,264
222,British Indian Ocean Territory,3,1000
222,Nauru,3,254
222,Svalbard and Jan Mayen,3,1021
226,Tuvalu,2,187
227,Saint Pierre and Miquelon,1,167
227,Tokelau,1,666
227,French Southern and Antarctic Lands,1,2500
,World,4236262,
