Countries,Total,core population pct,pmp,Total,pct,pmp,Total,pct,pmp,Total,pct,pmp,Nationalofficial
Denmark,"6,400",0.043,"1,100","7,500",0.042,"1,289","8,500",0.040,"1,461","9,500",0.040,"1,633",
India,"4,800",0.032,4,"6,000",0.033,4,"7,500",0.036,6,"9,000",0.038,7,"4,650(2011)"
Latvia,"4,500",0.030,"2,350","8,000",0.044,"4,178","12,000",0.057,"6,267","16,000",0.067,"8,356","8,210(2019)"
Poland,"4,500",0.030,120,"7,000",0.039,187,"10,000",0.048,267,"13,000",0.055,347,"2,488(2011)"
Greece,"4,100",0.028,380,"5,200",0.029,482,"6,000",0.029,556,"7,000",0.029,649,
Czech Republic,"3,900",0.026,370,"5,000",0.028,474,"6,500",0.031,617,"8,000",0.034,759,"1,427(2021)"
Portugal,"3,100",0.021,300,"3,500",0.019,339,"4,000",0.019,387,"5,000",0.021,484,"3,061(2011)"
China,"3,000",0.020,2,"3,200",0.018,2,"3,400",0.016,2,"3,600",0.015,3,
Uzbekistan,"2,900",0.020,90,"6,000",0.033,186,"8,000",0.038,248,"10,000",0.042,310,"94,689(1989)"
Ireland,"2,700",0.018,550,"3,600",0.020,733,"5,000",0.024,"1,019","6,500",0.027,"1,324","1,921(2016)"
Slovakia,"2,600",0.018,480,"3,600",0.020,665,"4,600",0.022,849,"6,000",0.025,"1,108",601(2019)
Kazakhstan,"2,500",0.017,140,"4,800",0.027,269,"6,500",0.031,364,"9,500",0.040,532,"5,281(2009)"
Costa Rica,"2,500",0.017,490,"2,800",0.016,549,"3,100",0.015,608,"3,400",0.014,666,
Lithuania,"2,400",0.016,860,"4,700",0.026,"1,684","7,500",0.036,"2,688","10,500",0.044,"3,763","1,229(2011)"
Colombia,"2,100",0.014,40,"2,800",0.016,53,"3,500",0.017,67,"4,500",0.019,86,
Morocco,"2,100",0.014,60,"2,500",0.014,71,"2,800",0.013,80,"3,100",0.013,89,
Bulgaria,"2,000",0.014,290,"4,000",0.022,580,"6,000",0.029,870,"8,000",0.034,"1,160","1,162(2011)"
Moldova,"1,900",0.013,540,"3,800",0.021,"1,080","7,500",0.036,"2,132","10,000",0.042,"2,842","1,601(2014)"
Estonia,"1,900",0.013,"1,430","2,700",0.015,"2,032","3,500",0.017,"2,634","4,500",0.019,"3,387","1,921(2019)"
Peru,"1,900",0.013,60,"2,400",0.013,76,"3,000",0.014,95,"3,500",0.015,111,
Croatia,"1,700",0.011,420,"2,400",0.013,593,"3,100",0.015,766,"3,800",0.016,939,536(2011)
Georgia,"1,500",0.010,380,"3,000",0.017,760,"5,000",0.024,"1,267","7,500",0.032,"1,900","1,417(2014)"
Puerto Rico,"1,500",0.010,490,"2,000",0.011,653,"2,500",0.012,817,"3,000",0.013,980,
Serbia,"1,400",0.0095,200,"2,100",0.012,300,"2,800",0.013,400,"3,500",0.015,500,578(2011)
Finland,"1,300",0.0088,240,"1,600",0.0089,295,"1,900",0.0090,351,"2,200",0.0092,406,"1,093(2017)"
Norway,"1,300",0.0088,240,"1,600",0.0089,295,"2,000",0.0095,369,"2,500",0.011,462,761(2021)
Tunisia,"1,000",0.0068,90,"1,200",0.0067,108,"1,400",0.0067,126,"1,600",0.0067,144,
Japan,"1,000",0.0068,10,"1,200",0.0067,12,"1,400",0.0067,14,"1,600",0.0067,16,
Paraguay,"1,100",0.0074,150,"1,300",0.0072,177,"1,600",0.0076,218,"1,900",0.0080,259,"1,100(2002)"
Guatemala,900,0.0061,50,"1,200",0.0067,67,"1,500",0.0071,83,"1,800",0.0076,100,
Singapore,900,0.0061,160,"1,000",0.0055,178,"1,200",0.0057,213,"1,400",0.0059,249,
Ecuador,600,0.0041,30,800,0.0044,40,"1,000",0.0048,50,"1,200",0.0050,60,
Gibraltar,800,0.0054,"22,860",900,0.0050,"25,718","1,000",0.0048,"28,575","1,100",0.0046,"31,433",763(2012)
Luxembourg,700,0.0047,"1,130",900,0.0050,"1,453","1,100",0.0052,"1,776","1,300",0.0055,"2,099",
Bolivia,500,0.0034,40,700,0.0039,56,900,0.0043,72,"1,100",0.0046,88,
Bosnia and Herzegovina,500,0.0034,140,800,0.0044,224,"1,100",0.0052,308,"1,400",0.0059,392,262 (2013)
Cuba,500,0.0034,40,"1,000",0.0055,80,"1,500",0.0071,120,"2,000",0.0084,160,
U.S. Virgin Islands,500,0.0034,"3,810",600,0.0033,"5,715",700,0.0033,"6,668",800,0.0034,"7,620",
Kyrgyzstan,400,0.0027,60,700,0.0039,105,"1,000",0.0048,150,"1,500",0.0063,225,455 (2018)
Bahamas,200,0.0014,510,500,0.0028,"1,275",700,0.0033,"1,785",900,0.0038,"2,295",191(2010)
Kenya,300,0.0020,10,500,0.0028,17,700,0.0033,23,900,0.0038,30,
Netherlands Antilles,400,0.0027,"1,250",500,0.0028,"1,563",700,0.0033,"2,188",900,0.0038,"2,813",
Jamaica,500,0.0034,180,300,0.0017,108,400,0.0019,144,500,0.0021,180,506(20111)
Suriname,200,0.0014,330,400,0.0022,660,600,0.0029,990,800,0.0034,"1,320",181(2012)
Thailand,200,0.0014,3,300,0.0017,4,400,0.0019,6,500,0.0021,7,
Turkmenistan,200,0.0014,30,400,0.0022,60,600,0.0029,90,800,0.0034,120,"1,537 (1995)"
Zimbabwe,200,0.0014,10,400,0.0022,20,600,0.0029,30,800,0.0034,40,
Armenia,100,0.00068,30,300,0.0017,90,500,0.0024,150,700,0.0029,210,127(2011)
Bermuda,100,0.00068,"1,540",200,0.0011,"3,080",300,0.0014,"4,620",400,0.0017,"6,160",135(2010)
Botswana,100,0.00068,40,200,0.0011,80,300,0.0014,120,400,0.0017,160,
DR Congo,100,0.00068,1,200,0.0011,2,300,0.0014,4,400,0.0017,5,
Cyprus,500,0.0034,240,400,0.0022,320,500,0.0024,400,600,0.0025,480,
Barbados,100,0.00068,350,200,0.0011,700,300,0.0014,"1,050",400,0.0017,"1,400",103(2011)
Dominican Republic,100,0.00068,10,200,0.0011,20,300,0.0014,30,400,0.0017,40,
Egypt,100,0.00068,1,200,0.0011,2,300,0.0014,3,400,0.0017,4,
El Salvador,100,0.00068,20,200,0.0011,40,300,0.0014,60,400,0.0017,80,
Ethiopia,100,0.00068,1,500,0.0028,5,"1,000",0.0048,9,"2,500",0.011,23,
Indonesia,100,0.00068,0,200,0.0011,1,300,0.0014,1,400,0.0017,1,
Malta,500,0.0034,200,200,0.0011,400,300,0.0014,600,400,0.0017,800,
Namibia,100,0.00068,40,200,0.0011,80,300,0.0014,120,400,0.0017,160,
Nigeria,100,0.00068,1,200,0.0011,1,300,0.0014,2,400,0.0017,2,
North Macedonia,100,0.00068,50,200,0.0011,100,300,0.0014,150,400,0.0017,200,66 (2021)
Madagascar,100,0.00068,4,200,0.0011,8,300,0.0014,11,400,0.0017,15,
Philippines,100,0.00068,1,200,0.0011,2,300,0.0014,3,400,0.0017,4,
Slovenia,100,0.00068,50,200,0.0011,100,300,0.0014,150,400,0.0017,200,99(2001)
South Korea,100,0.00068,2,200,0.0011,4,300,0.0014,6,400,0.0017,8,
Syria,100,0.00068,6,200,0.0011,12,300,0.0014,18,400,0.0017,24,
Taiwan,100,0.00068,4,200,0.0011,8,300,0.0014,13,400,0.0017,17,
Uganda,,,,,,,,,,,,,"7,189 (2014)"
Aruba,,,,,,,,,,,,,354(2018)
Nicaragua,,,,,,,,,,,,,199(2018)
Mauritius,,,,,,,,,,,,,43(2018)
Tajikistan,,,,,,,,,,,,,38(2020)
Anguilla,,,,,,,,,,,,,16(2018)
Faroe Islands,,,,,,,,,,,,,12(2020)
Montenegro,,,,,,,,,,,,,12(2018)
British Virgin Islands,,,,,,,,,,,,,11(2018)
Liechtenstein,,,,,,,,,,,,,26(2020)
Falkland Islands,,,,,,,,,,,,,1(2018)
World,"14,787,200",100,"1,920","18,030,900",100,"2,341","21,005,700",100,"2,727","23,809,100",100,"3,091",
