Country,Subregion,Region,10%,20%,10%,Year,%,Year
DR Congo,Middle Africa,Africa,,8.8,,,42.1,2012
Congo,Middle Africa,Africa,,12.8,,,48.9,2011
Costa Rica,Central America,Americas,23.4,12.3,37.3,2003,49.3,2020
Ivory Coast,Western Africa,Africa,16.6,8.4,17.0,2002,37.2,2018
Croatia,Southern Europe,Europe,7.3,5.3,7.2,2003,28.9,2019
Cyprus,Western Asia,Asia,,5.3,,,31.2,2019
Czech Republic,Eastern Europe,Europe,5.2,3.7,5.2,1996,25.3,2019
Denmark,Northern Europe,Europe,8.1,4.0,12.0,2000,27.7,2019
Djibouti,Eastern Africa,Africa,,8.8,,,41.6,2017
Dominican Republic,Caribbean,Americas,25.3,10.5,18.8,2012,39.6,2020
Ecuador,South America,Americas,35.2,10.7,17.5,2006,47.3,2020
Egypt,Northern Africa,Africa,8.0,4.6,8.0,2000,31.5,2017
El Salvador,Central America,Americas,38.6,7.0,55.4,2002,38.8,2019
Estonia,Northern Europe,Europe,10.8,5.4,11.0,2003,30.8,2019
Eswatini,Southern Africa,Africa,25.1,14.2,25.4,2001,54.6,2016
Ethiopia,Eastern Africa,Africa,6.6,7.1,6.5,2000,35.0,2015
European Union,Europe,,,,8.6,2015,30.6,2012
Fiji,Melanesia,Oceania,,6.0,,,30.7,2019
Finland,Northern Europe,Europe,5.6,3.9,5.7,2000,27.7,2019
France,Western Europe,Europe,9.1,5.2,8.3,2004,32.4,2018
Gabon,Middle Africa,Africa,,7.4,,,38.0,2017
Gambia,Western Africa,Africa,20.2,5.9,20.6,1998,35.9,2015
Georgia,Western Asia,Asia,15.4,7.1,15.2,2003,34.5,2020
Germany,Western Europe,Europe,6.9,5.1,6.9,2000,31.7,2018
Ghana,Western Africa,Africa,14.1,10.3,13.7,1999,43.5,2016
Greece,Southern Europe,Europe,10.2,7.1,10.4,2000,33.1,2019
Guatemala,Central America,Americas,33.9,11.9,48.2,2002,48.3,2014
Guinea,Western Africa,Africa,10.5,5.5,21.6,2006,29.6,2018
Guinea-Bissau,Western Africa,Africa,19.0,12.6,84.8,1991,34.8,2018
Guyana,South America,Americas,,,26.0,1999,44.6,2007
Haiti,Caribbean,Americas,54.4,8.6,68.1,2001,41.1,2012
Honduras,Central America,Americas,59.4,17.1,35.2,2003,48.2,2019
Hong Kong,Eastern Asia,Asia,17.8,,,,53.9,2016
Hungary,Eastern Europe,Europe,5.5,4.9,5.6,2002,30.0,2019
Iceland,Northern Europe,Europe,,4.0,,,26.1,2017
India,Southern Asia,Asia,8.6,5.5,8.6,2004,35.7,2011
Indonesia,South-eastern Asia,Asia,7.8,6.6,7.9,2002,37.9,2021
Iran,Southern Asia,Asia,17.2,7.7,16.9,1998,40.9,2019
Iraq,Western Asia,Asia,,4.4,,,29.5,2012
Ireland,Northern Europe,Europe,9.4,5.0,9.4,2000,30.6,2018
Israel,Western Asia,Asia,13.4,8.5,11.8,2005,38.6,2018
Italy,Southern Europe,Europe,11.6,7.0,11.7,2000,35.2,2018
Jamaica,Caribbean,Americas,17.3,,17.0,2004,35.0,2016
Japan,Eastern Asia,Asia,4.5,5.4,4.5,1993,32.9,2013
Jordan,Western Asia,Asia,11.3,5.2,11.3,2003,33.7,2010
Kazakhstan,Central Asia,Asia,8.5,3.8,8.0,2004,27.8,2018
Kenya,Eastern Africa,Africa,13.6,7.7,18.6,2000,40.8,2015
South Korea,Eastern Asia,Asia,7.8,5.3,5.9,2011,31.4,2016
Kosovo,Eastern Europe,Europe,,,,,29.0,2017
Kyrgyzstan,Central Asia,Asia,6.4,3.8,6.4,2003,29.0,2020
Laos,South-eastern Asia,Asia,8.3,5.9,8.4,2002,38.8,2018
Latvia,Northern Europe,Europe,11.6,5.8,11.6,2003,34.5,2019
Lebanon,Western Asia,Asia,,5.1,,,31.8,2011
Lesotho,Southern Africa,Africa,39.8,20.8,48.2,2002,44.9,2017
Liberia,Western Africa,Africa,12.8,5.9,,,35.3,2016
Lithuania,Northern Europe,Europe,10.4,7.2,10.3,2003,35.3,2019
Luxembourg,Western Europe,Europe,,5.7,6.8,2000,34.2,2019
Macau,Eastern Asia,Asia,,,,,35.0,2013
North Macedonia,Southern Europe,Europe,12.5,7.3,12.3,2003,33.0,2018
Madagascar,Eastern Africa,Africa,19.2,8.7,19.3,2001,42.6,2012
Malawi,Eastern Africa,Africa,10.9,8.1,11.0,2004,38.5,2019
Malaysia,South-eastern Asia,Asia,22.1,8.2,28.0,2003,41.1,2015
Maldives,Southern Asia,Asia,,7.0,,,29.3,2019
Mali,Western Africa,Africa,12.5,5.2,12.6,2001,36.1,2018
Malta,Southern Europe,Europe,,4.5,,,31.0,2019
Mauritania,Western Africa,Africa,12.0,5.4,11.8,2000,32.6,2014
Mauritius,Eastern Africa,Africa,,5.9,,,36.8,2017
Mexico,Central America,Americas,21.6,8.8,24.6,2004,45.4,2020
Micronesia,Micronesia,Oceania,,8.4,,,40.1,2013
Moldova,Eastern Europe,Europe,8.2,3.6,8.3,2003,26.0,2019
Mongolia,Eastern Asia,Asia,8.2,5.1,8.2,2002,32.7,2018
Montenegro,Southern Europe,Europe,,4.8,,,36.8,2018
Morocco,Northern Africa,Africa,11.7,7.0,11.9,1999,39.5,2013
Mozambique,Eastern Africa,Africa,18.8,14.2,18.8,2002,54.0,2014
Myanmar,South-eastern Asia,Asia,,6.3,11.6,1998,30.7,2017
Namibia,Southern Africa,Africa,106.6,22.8,129.0,2003,59.1,2015
Nepal,Southern Asia,Asia,15.8,5.0,15.6,2004,32.8,2010
Netherlands,Western Europe,Europe,9.2,4.2,9.2,1999,29.2,2019
New Zealand,"Australia, New Zealand",Oceania,12.4,,,,36.2,1997
Nicaragua,Central America,Americas,31.0,10.2,15.4,2001,46.2,2014
Niger,Western Africa,Africa,46.0,5.4,44.3,1995,37.3,2018
Nigeria,Western Africa,Africa,17.8,9.1,17.5,2003,35.1,2018
Norway,Northern Europe,Europe,6.1,4.1,6.0,2000,27.7,2019
Pakistan,Southern Asia,Asia,6.5,4.8,6.6,2002,29.6,2018
Panama,Central America,Americas,49.9,15.9,61.4,2003,49.8,2019
Papua New Guinea,Melanesia,Oceania,23.8,9.3,23.8,1996,41.9,2009
Paraguay,South America,Americas,38.8,11.7,65.9,2003,43.5,2020
Peru,South America,Americas,26.1,10.3,31.5,2003,43.8,2020
Philippines,South-eastern Asia,Asia,15.5,7.2,15.5,2003,42.3,2018
Poland,Eastern Europe,Europe,8.8,4.6,8.7,2002,30.2,2018
Portugal,Southern Europe,Europe,15.0,6.4,9.2,1995,32.8,2019
Qatar,Western Asia,Asia,,,,,41.1,2007
Romania,Eastern Europe,Europe,7.5,8.0,7.4,2003,34.8,2019
Russia,Eastern Europe,Europe,12.7,6.6,12.8,2002,36.0,2020
Rwanda,Eastern Africa,Africa,18.6,8.5,18.2,2000,43.7,2016
São Tomé and Príncipe,Middle Africa,Africa,,4.7,,,40.7,2017
Saudi Arabia,Western Asia,Asia,,,,,45.9,2013
Senegal,Western Africa,Africa,12.3,7.7,12.4,2001,38.1,2018
Serbia,Southern Europe,Europe,,4.2,,,34.5,2019
Seychelles,Eastern Africa,Africa,,9.8,,,32.1,2018
Sierra Leone,Western Africa,Africa,87.2,5.4,87.2,1989,35.7,2018
Singapore,South-eastern Asia,Asia,17.7,,17.3,1998,45.9,2017
Slovakia,Eastern Europe,Europe,6.7,4.1,6.7,1996,23.2,2019
Slovenia,Southern Europe,Europe,5.9,3.7,5.9,1998,24.4,2019
Somalia,Eastern Africa,Africa,,,,,36.8,2017
South Africa,Southern Africa,Africa,33.1,28.4,31.9,2000,63.0,2014
South Sudan,Eastern Africa,Africa,,13.0,,,44.1,2016
Spain,Southern Europe,Europe,10.3,7.3,10.2,2000,34.3,2019
Sri Lanka,Southern Asia,Asia,11.1,6.8,36.1,2003,39.3,2016
Saint Lucia,Caribbean,Americas,,6.8,,,51.2,2016
Sudan,Northern Africa,Africa,,6.2,,,34.2,2014
Suriname,South America,Americas,,,,,57.9,1999
Sweden,Northern Europe,Europe,6.2,4.6,6.2,2000,29.3,2019
Switzerland,Western Europe,Europe,9.0,5.2,8.9,2000,33.1,2018
Syria,Western Asia,Asia,,,,,37.5,2003
Taiwan,Eastern Asia,Asia,,,6.1,2002,33.6,2014
Tajikistan,Central Asia,Asia,7.8,5.6,7.8,2003,34.0,2015
Tanzania,Eastern Africa,Africa,9.2,6.2,9.3,2000,40.5,2018
Thailand,South-eastern Asia,Asia,12.6,6.0,12.4,2002,35.0,2020
East Timor,South-eastern Asia,Asia,,4.1,,,28.7,2014
Togo,Western Africa,Africa,,9.7,,,42.4,2018
Trinidad and Tobago,Caribbean,Americas,12.9,,,,40.3,1992
Tunisia,Northern Africa,Africa,13.4,5.2,13.7,2000,32.8,2015
Turkey,Western Asia,Asia,6.6,8.5,17.1,2003,41.9,2019
Turkmenistan,Central Asia,Asia,12.3,,12.2,1998,40.8,1998
Uganda,Eastern Africa,Africa,16.6,8.2,16.4,2002,42.7,2019
Ukraine,Eastern Europe,Europe,5.9,3.5,7.6,2006,25.6,2020
United Arab Emirates,Western Asia,Asia,,,,,26.0,2018
United Kingdom,Northern Europe,Europe,13.8,5.4,13.6,1999,35.1,2017
United States,Northern America,Americas,18.5,9.4,14.0,2014,41.5,2019
Uruguay,South America,Americas,11.8,7.8,17.9,2003,40.2,2020
Uzbekistan,Central Asia,Asia,10.6,,10.6,2003,35.3,2003
Venezuela,South America,Americas,18.8,15.8,50.3,2003,39.0,2011
Vietnam,South-eastern Asia,Asia,6.9,6.2,10.0,2004,35.7,2018
Yemen,Western Asia,Asia,8.6,6.1,8.6,2003,36.7,2014
Zambia,Eastern Africa,Africa,,21.1,,,57.1,2015
Zimbabwe,Eastern Africa,Africa,,8.6,,,50.3,2019
World,,,,,38.0,2007,,
