Rank,Rank,Nation,HDI,HDI
74,(10),Bosnia and Herzegovina,0.780,0.67%
75,(2),Saint Kitts and Nevis,0.777,0.21%
76,(2),Iran,0.774,0.35%
77,(2),Ukraine,0.773,0.11%
78,(5),North Macedonia,0.770,0.39%
79,(19),China,0.768,0.97%
80,(16),Dominican Republic,0.767,0.73%
80,(9),Moldova,0.767,0.45%
80,(7),Palau,0.767,0.07%
83,(7),Cuba,0.764,0.19%
84,(1),Peru,0.762,0.45%
85,(5),Armenia,0.759,0.16%
86,(8),Mexico,0.758,0.15%
87,(1),Brazil,0.754,0.38%
88,(1),Colombia,0.752,0.32%
89,(4),Saint Vincent and the Grenadines,0.751,0.21%
90,(6),Maldives,0.747,0.75%
91,(2),Algeria,0.745,0.30%
91,(1),Azerbaijan,0.745,0.22%
91,(10),Tonga,0.745,0.40%
91,(2),Turkmenistan,0.745,0.43%
95,(14),Ecuador,0.740,0.05%
96,(4),Mongolia,0.739,0.48%
97,(13),Egypt,0.731,0.73%
97,(1),Tunisia,0.731,0.14%
99,(3),Fiji,0.730,0.20%
99,(7),Suriname,0.730,0.09%
101,(11),Uzbekistan,0.727,0.70%
102,(11),Dominica,0.720,0.11%
102,(2),Jordan,0.720,0.06%
104,(10),Libya,0.718,0.26%
105,(2),Paraguay,0.717,0.42%
106,(2),Palestine,0.715,0.36%
106,(11),Saint Lucia,0.715,0.16%
108,(12),Guyana,0.714,0.77%
109,(4),South Africa,0.713,0.50%
110,(3),Jamaica,0.709,0.06%
111,(6),Samoa,0.707,0.08%
112,(2),Gabon,0.706,0.56%
112,(21),Lebanon,0.706,0.79%
114,(3),Indonesia,0.705,0.55%
115,(5),Vietnam,0.703,0.53%
116,,Philippines,0.699,0.33%
117,(6),Botswana,0.693,0.44%
118,,Bolivia,0.692,0.40%
118,,Kyrgyzstan,0.692,0.38%
120,(41),Venezuela,0.691,0.80%
121,(1),Iraq,0.686,0.63%
122,(3),Tajikistan,0.685,0.68%
123,(14),Belize,0.683,0.31%
123,(3),Morocco,0.683,1.14%
125,(2),El Salvador,0.675,0.22%
126,(1),Nicaragua,0.667,0.76%
127,(6),Bhutan,0.666,1.25%
128,(4),Cape Verde,0.662,0.25%
129,(11),Bangladesh,0.661,1.64%
130,(2),Tuvalu,0.641,0.36%
131,(1),Marshall Islands,0.639,NA
132,(1),India,0.633,0.88%
133,(5),Ghana,0.632,0.88%
134,,Micronesia,0.628,0.04%
135,(6),Guatemala,0.627,0.33%
136,(1),Kiribati,0.624,0.53%
137,,Honduras,0.621,0.36%
138,(4),Sao Tome and Principe,0.618,1.00%
139,(7),Namibia,0.615,0.46%
140,(1),Laos,0.607,0.88%
140,(4),East Timor,0.607,0.18%
140,(3),Vanuatu,0.607,0.24%
143,(4),Nepal,0.602,0.94%
144,(4),Eswatini,0.597,1.57%
145,(6),Equatorial Guinea,0.596,0.26%
146,(3),Cambodia,0.593,0.85%
146,(1),Zimbabwe,0.593,1.34%
148,(3),Angola,0.586,1.27%
149,(1),Myanmar,0.585,1.26%
150,(5),Syria,0.577,1.21%
151,(2),Cameroon,0.576,1.06%
152,,Kenya,0.575,0.49%
153,(9),Republic of the Congo,0.571,0.16%
154,(4),Zambia,0.565,0.60%
155,(1),Solomon Islands,0.564,0.23%
156,,Comoros,0.558,0.64%
156,(2),Papua New Guinea,0.558,1.02%
158,(2),Mauritania,0.556,0.79%
159,(8),Ivory Coast,0.550,1.38%
160,(2),Tanzania,0.549,0.98%
161,(2),Pakistan,0.544,0.68%
162,(4),Togo,0.539,1.12%
163,(3),Haiti,0.535,1.94%
163,(1),Nigeria,0.535,0.95%
165,,Rwanda,0.534,0.80%
166,(6),Benin,0.525,0.59%
166,(3),Uganda,0.525,0.41%
168,(3),Lesotho,0.514,0.88%
169,(4),Malawi,0.512,1.06%
170,(1),Senegal,0.511,0.80%
171,(1),Djibouti,0.509,0.96%
172,(4),Sudan,0.508,0.40%
173,(3),Madagascar,0.501,0.16%
174,(1),Gambia,0.500,0.76%
175,(6),Ethiopia,0.498,1.74%
176,(2),Eritrea,0.492,0.55%
177,(2),Guinea-Bissau,0.483,0.79%
178,,Liberia,0.481,0.41%
179,(1),Democratic Republic of the Congo,0.479,1.01%
180,(5),Afghanistan,0.478,0.59%
181,(1),Sierra Leone,0.477,1.01%
182,(1),Guinea,0.465,1.04%
183,(6),Yemen,0.455,1.03%
184,(2),Burkina Faso,0.449,1.72%
185,(2),Mozambique,0.446,0.95%
186,(1),Mali,0.428,0.53%
187,(2),Burundi,0.426,0.46%
188,(2),Central African Republic,0.404,0.75%
189,(2),Niger,0.400,1.54%
190,(1),Chad,0.394,0.77%
191,(3),South Sudan,0.385,1.00%
