Country,Minimum wage,Anual Nominal (US$),PPP (Int$),Workweek  (hours),Nominal (US$),PPP (Int$),Percent of  GDP per capita,Effective per
Russia,"15,279₽ (US$276) (Federal, in some territories more, for example, 23.508₽ (US$425) in Moscow)","2,489","7,369",40,1.2,3.54,29.7%,1 June 2022
Rwanda,"None; ranges from FRw 500 to FRw 1,000 (US$0.83 to US$1.66) per day in the tea industry and FRw 1,500 to FRw 5,000 (US$2.50 to US$8.30) per day in the construction industry.",,,45,,,,2013
Saint Kitts and Nevis,EC$9 per hour.,"6,933","9,087",40,3.33,4.37,34.4%,1 November 2014
Saint Lucia,Minimum wage for some sectors; EC$300 (US$111) per month for office clerks; EC$200 (US$74) for shop assistants; EC$160 (US$59) for messengers.,,,40,,,,2013
Saint Vincent and the Grenadines,"Set sector by sector; for example, EC$56 ($20.74) per day for agriculture workers (shelter not provided); EC$40 (US$14.81) per day for industrial workers; and EC$25 per day for household domestic workers.","2,407","3,351",40,1.16,1.61,29.2%,1 July 2008
Samoa,WS$2 (US$0.89) per hour for the private sector; WS$2.65 (US$1.18) for the public sector.,"1,625","2,237",40,0.78,1.08,35.1%,2012
San Marino,€1501.49 (US$1735) per month; or €9.24 (US$10) per hour for the lowest paying industry,"21,310","23,400",37.5,10.93,12,38.4%,1 January 2017
São Tomé and Príncipe,"None; Db 750,000 (US$40) per month for civil servants",,,,,,,2013
Saudi Arabia,"SRls 3,000 (US$800) per month for public sector; does not apply to foreign workers. There are no minimum wage in private sector.","9,600","18,557",48,3.85,7.43,34.1%,2 February 2013
Senegal,F.CFA 209.1 (US$0.42) per hour for general workers and F.CFA 182.95 (US$0.37) per hour for agricultural workers.,686,"1,617",40,0.33,0.78,63%,1 January 1996
Serbia,"DIN 47,175 (US$453) gross monthly. Also, DIN 201.22 (US$1.94) per hour net.","3,610","7,291",40,1.74,3.51,50.2%,1 January 2022
Seychelles,SRs 26/70 (US$1.9) per hour for all workers other than casual workers; SRs 30/78 (US$2.1) per hour for casual workers.,"3,282","6,435",40,1.58,3.09,22.7%,1 January 2014
Sierra Leone,"Le 500,000 (US$57) per month.",575,"2,602",40,0.28,1.25,176.2%,1 January 2015
Singapore,"None. However, two exceptions: 1) Cleaner jobs to have a minimum wage of S$1,200 (US$860) per month effective July 2019. 2) Security guards to have a minimum wage of S$1,100 ($802) per month effective September 2016.",,,44,,,,2019
Slovakia,"€623 (US$737) per month, or €3.58 (US$4.23) per hour.","8,708","13,388",40,4.19,6.44,44%,1 January 2021
